i,time_sec,src,ref,hyp
0,7.662161,"Nicola Rizzoli, der Schiedsrichter, hat den Mexikaner nicht bestraft.","Nicola Rizzoli, the referee, did not penalise the Mexican.","Nicola Rizzoli, the referee, did not punish the Mexicans."
1,0.642692,"Eine Studie des British Retail Consortium fand heraus, dass von 5 £ Ausgaben etwas mehr als 1 £ online ausgegeben wurde.",Research published by the British Retail Consortium found just over £1 in every £5 was being spent online.,"A study by the British Retail Consortium found that of £5 issues, just over £1 was spent online."
2,0.666819,"Eine Mehrheit sieht Sanders eher als ehrlich an, aber wie bei Carson haben viele keine Meinung von ihm.","More see Sanders as honest than not, but like Carson, many don't have an opinion of him.","A majority sees Sanders as more honest, but as with Carson, many have no opinion of him."
3,0.676096,"Doch schon 2004 und in Rheinnähe ist bereits ""Seven Swans"" erschienen und bricht positiv gewisse Erwartungen.","But in 2004 in the Rhine area, ""Seven Swans"" came out, bursting positive expectations.","But already in 2004 and near the Rhine ""Seven Swans"" has appeared and breaks positive certain expectations."
4,1.830936,"Da sie zuerst im Jahre 1990 im Fernsehen gesendet wurde, wurde die Fragestunde mit dem Premierminister als wichtigster Barometer des Urteils eines Führers und seiner Führung im Unterhaus und seiner Stellung unter seinen Parlamentskollegen angesehen, obwohl Kritiker argumentiert haben, sie sei zu einer Karikatur geworden und bedürfe weitreichender Reformen.","Since it was first televised in 1990, PMQs has been seen as a key barometer of a leader's judgement, their command of the Commons and their standing among their fellow MPs although critics have argued it has become a caricature and is in need of far-reaching reforms.","Since it was first broadcast on television in 1990, Question Time with the Prime Minister was regarded as the most important barometer of the ruling of a leader and his leadership in the House of Commons and his position among his parliamentary colleagues, although critics have argued that it has become a cartoon and needs far-reaching reforms."
5,0.764744,"Sie und ihre Freunde waren in der High School, und er war der coole ältere Kerl, der einige Jahre versuchte, ihr das Gitarrenspiel beizubringen.","She and her friends were in high school, and he was the cool older guy who tried for several years to teach her to play guitar.","She and her friends were in high school, and he was the cool older guy who tried to teach her guitar playing for a few years."
6,0.280142,Die meisten Jobs werden Teilzeitjobs sein.,Most of the jobs will be part-time.,Most jobs will be part-time jobs.
7,0.664976,"Bis zum Ende des Tages gab es einen weiteren Tod: Lamm nahm sich das Leben, als die Polizei ihn einkesselte.","By the end of the day, there would be one more death: Lamb took his own life as police closed in on him.",There was another death until the end of the day: Lamb took his life when the police encircled him.
8,0.35386,2011 stolperte hier auch Borussia Dortmund (1:3).,In 2011 Borussia Dortmund stumbled here too.,In 2011 Borussia Dortmund (1:3) also stumbled here.
9,0.336974,All das fordert sicher seinen Tribut.,All that stuff sure does take a toll.,I'm sure all this will take its toll.
10,0.533204,Mr Akram war mit seinen Eltern vor dem Beginn des jährlichen Haddsch in der Großen Moschee.,Mr Akram had been in the Grand Mosque with his parents ahead of the start of the annual hajj pilgrimage.,Mr. Akram was in the Great Mosque with his parents before the beginning of the annual Hajj.
